trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
164,False,"{'a': 0.9, 'e': 0.22855006266942049}",20,0,18.677593314935457,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
165,False,"{'a': 0.9, 'e': 0.22650234067646879}",25,15,7.4295849419833875,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.9, 'e': 0.22447296549695234}",25,15,13.26038096382782,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.9, 'e': 0.22246177275037213}",20,13,3.1020373130988226,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.9, 'e': 0.22046859952901599}",30,15,-16.159778772359633,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
169,False,"{'a': 0.9, 'e': 0.21849328438476318}",25,0,-51.9830975087456,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
170,False,"{'a': 0.9, 'e': 0.2165356673160071}",20,8,9.089485741912496,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.9, 'e': 0.21459558975469478}",25,12,-1.4331435950575404,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.9, 'e': 0.21267289455348309}",20,13,10.619835649271058,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.9, 'e': 0.2107674259730094}",20,8,20.050872531064293,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.9, 'e': 0.20887902966927699}",25,0,-19.809321456708712,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
175,False,"{'a': 0.9, 'e': 0.20700755268115265}",20,0,2.5658238985740383,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
176,False,"{'a': 0.9, 'e': 0.20515284341797721}",25,0,17.638532613603044,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 0.9, 'e': 0.20331475164728618}",20,0,27.431702164535274,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
178,False,"{'a': 0.9, 'e': 0.20149312848264131}",30,16,-12.588724100080896,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
179,False,"{'a': 0.9, 'e': 0.19968782637157012}",35,24,13.628581964176934,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.9, 'e': 0.19789869908361471}",35,11,-7.223884310661327,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 0}",1
181,False,"{'a': 0.9, 'e': 0.19612560169848647}",35,0,-3.6220131548961163,"{0: 30, 1: 1, 2: 4, 3: 0, 4: 0}",0
